id,speaker_id,texto_ia,texto_mejorado
5a565874-8130-40f9-a2a4-c316fe7cb838,SPEAKER_00,"Diligencia de dilagrado, se env├¡a a la divinidad para que se act├║e y se extraiga la informaci├│n",
66c054a6-6f88-44b8-9286-2022d0f9a6bd,SPEAKER_00,"Mayo del 2000 veintiuno en la instrucci├│n. En esa instrucci├│n mal llevada, con hemos visto.",
98d05e9f-8ca0-4250-a6da-e9d9be4bd20d,SPEAKER_00,"Y, por cuestiones de tiempo, deciden acusar y condenar sin esa prueba fundamental que le fue admitida al Fiscal y a nosotros, y a nosotros, porque si ustedes",
993d8858-d57d-4afb-8e73-38178219d844,SPEAKER_00,"Y esa declaraci├│n desapareci├│, se extravi├│. En la ascendencia, en primera instancia, no se motiv├│. Cuando se han presentado la",
449b65c9-9cdf-437e-b6c4-c55b74c98f85,SPEAKER_00,"Que en la p├ígina 10 3.2 punto veintiuno, la misma sala",
90d9f1aa-e3c1-4b96-bac9-ae89578a3a1d,SPEAKER_00,"Declaraciones, un minuto, por favor.",
a3a11c17-1455-4d8e-bf94-ed35b4dbcdf0,SPEAKER_00,Menciona los agravios que han tenido las,
4f07904e-a598-4026-b526-016cee2b76da,SPEAKER_00,"O pluma otro. S├¡, analizan las declaraciones preliminares, incluso el Se├▒or Diego Arroyo en su declaraci├│n preliminar recientemente en el r├¡o, ahora",
38046d6f-58fe-4db0-a205-75c2d77f96ef,SPEAKER_00,"Momento de resolver no los mencionaron. Para nosotros esa prueba es fundamental, porque es Se├▒ora, la madre, declara de que su hija horas antes hab├¡a estado en el hotel Queen",
154c49db-49f6-453a-afef-04a144e02aea,SPEAKER_00,"Que suscitaron los hechos, prefiere El Se├▒or arequipe├▒o ha tomado fotos, las ha visto el polic├¡a y esto y estas fotos",
7f026d1a-b23c-47f0-9bc4-fd44102f6532,SPEAKER_00,"Con su enamorado, que su hija se lo hab├¡a referido. Entonces, la lesi├│n",
d461873f-c5a2-4282-837f-0dc3e2a19b19,SPEAKER_00,"Demostrar├¡an que los hechos son consentidos. Entonces, la prueba medular es ese tel├®fono, las pruebas que deben actuarse, hay una prueba perdida, ┬┐qui├®n va a responder por ella? Nosotros hemos",
cb379aeb-2cbf-49dd-b0ce-2ab197d2381d,SPEAKER_00,"Susgilaciones, fisuras, cuestionamientos legales, se ha aclarado, se ha motivado de qui├®n proviene? Si del enamorado o de los supuestos tesoros,",
7bc35490-3929-4950-b627-e81f5e895983,SPEAKER_00,"Esa declaraci├│n, de esa pieza, de esa prueba, que no fue debidamente valorada en el proceso. Por estas consideraciones solicitamos",
1ead300a-3599-40a6-af5a-84c64f855bea,SPEAKER_00,En los fiscales fundados nuestro recurso de agravio constitucional y consecuentemente nuestro pedido de habeas corpus. Muchas gracias,
637d7092-169d-4ed1-9d86-32f319ecef54,SPEAKER_00,"Siendo un caso que se dio en flagrancia, no hubo investigaci├│n, el Ministerio P├║blico, el tamiz principal.",
c15fc28a-234f-4ea3-b41b-9ef96df2c5bf,SPEAKER_00,"El desfile probatorio se debi├│ a la instrucci├│n y como ustedes se dar├ín cuenta, nos actuaron la mitad",
893dab61-b65d-42c0-91bc-5c08f2f30676,SPEAKER_00,"Juan Pablo Dom├¡nguez, gracias. Gracias presidente, a cualquiera de los 2 abogados de",
ae3abd20-5ef0-4a44-bde5-4a19909ddfbd,SPEAKER_00,De las pruebas que se hab├¡an admitido en la etapa de instrucci├│n.,
e34ebcae-36f6-4b7e-9f40-67430398b062,SPEAKER_00,"Esta supuesta violaci├│n sexual a una persona de 21 a├▒os, se han condenado a 5 personas.",
744da04c-086c-418d-bb08-0fbd9f7ae09a,SPEAKER_00,"Es decir, ellos deber├¡an estar saliendo en el a├▒o 40. Y",
1220f9a8-0699-412f-ba54-1fdc05b3beba,SPEAKER_00,"En primera instancia, no. A ra├¡z de nuestra apelaci├│n, donde advertimos la ausencia de esta actuaci├│n, la sala",
375fc846-b630-4bf5-a176-2b0af11a5c56,SPEAKER_00,"Responde y dice, estos medios probatorios",
7e18f09a-1598-4e35-ad34-456d97d97f6a,SPEAKER_01,In├║tiles.,
d728adb1-0cf2-44ea-aada-fc9f191572f1,SPEAKER_00,"Argumento que nos ha dado, contradiciendo, obviamente, el mismo planteamiento del Juez instructor que ya los aprob├│ por",
2c91c881-416d-4c0e-b75a-945face5a022,SPEAKER_00,"Lo se├▒al├│, yo argumento por qu├® eran pertinentes,",
a26ebc5a-33bb-4740-94fc-fcf2d04a0192,SPEAKER_00,"S├¡, Se├▒or Magistrado, espec├¡ficamente, esa argumentaci├│n la podemos encontrar entre las p├íginas 77 y 85 de la sentencia de segunda instancia, donde 1 por 1 nos",
14b266ee-8836-48c3-994b-9ee9b1371f97,SPEAKER_00,┬┐Jugador? Correcto. No podr├¡a ser considerado,
f71440b3-3e9a-4b68-b623-ef4dbad3d052,SPEAKER_00,"Tribunal m├íximo ha se├▒alado, el derecho a la prueba es complejo y va desde el ofrecimiento",
6026fe36-a3ed-4d48-aaaf-9a92ec9b86ac,SPEAKER_00,"La admisi├│n, la actuaci├│n, la valoraci├│n y no se puede valorar lo actuado. En este caso, si es que la segunda instancia penal nos dir├¡a la declaraci├│n del enamorado no es",
540278bd-93d4-4c20-8b95-c114d47d58ae,SPEAKER_00,"├Ütil, perfecto, desc├írtela, pero t├│mele la declaraci├│n, si no dice, no, la ratificaci├│n del no nos sirve, basta su pericia, bueno, t├│mele primero la declaraci├│n y valore, pero en este caso, valoraci├│n, simplemente",
2022fa3d-7504-401f-8745-82c2e50a5b2f,SPEAKER_00,"Existi├│ porque no se nos permiti├│ esa actuaci├│n. Ya, gracias.",
ddb27075-ac87-443a-818a-cba633f0635e,SPEAKER_02,"Proceso de amparo presentado por Gianfranco Ortiz Mor├│n, a favor de su menor hijo de inicial",
78542cc5-f788-4b1b-a700-8bdb8002b641,SPEAKER_02,Por la demandada el seguro social de salud EsSalud. Se├▒or,
04065372-97e4-423e-9796-6ece28fa5228,SPEAKER_02,Fern├índez. As├¡ mismo por la parte demandada el,
bec87b4e-996a-4918-a8dd-16f011fb3f7a,SPEAKER_02,Mart├¡n Lol.,
0af0d31e-fd91-4eb8-aea4-d580fdcc0301,SPEAKER_00,La enfermedad de distrograf├¡a muscular o de Eugene es una enfermedad rara,
44a7eaa1-ccad-4b17-bafb-008ebc37a3d9,SPEAKER_03,"Y hu├®rfana, es decir, no es una enfermedad com├║n y afecta principalmente a varones y a ni├▒os, si decimos ni├▒os, porque las probabilidades de vida se extienden",
e5b36a16-ce03-44d1-b9c7-6ad34af1511b,SPEAKER_03,"Hasta los 26 a├▒os y en algunos casos hasta los 28. Si no reciben tratamiento oportuno para esta enfermedad, inclusive entre los 12 y 14 a├▒os podr├¡an perder la capacidad motora, es decir, la capacidad de movilizarse aut├│nomamente.",
2cc873da-35cf-4222-b366-631fb1012113,SPEAKER_03,"Conformaci├│n, por lo debido respeto, Se├▒or presidente, Se├▒or magistrados, en el expediente 15 31 ya resolvi├│",
caa00a3c-b432-4beb-8403-73d1b2b52220,SPEAKER_03,Declarando fundado un agravio constitucional en una situaci├│n exactamente,
